ETUNIMI;YHTEENSÄ
Marjo-Riitta;1105
Madeleine;1102
Caroline;1096
Kirsikka;1091
Gunnel;1091
Juuli;1091
Enna;1071
Evelina;1066
Miranda;1064
Lina;1063
Virva;1056
Suoma;1054
Paulina;1049
Elizabeth;1047
Mathilda;1047
Maija-Leena;1036
Milka;1033
Vellamo;1031
Saaga;1028
Iita;1023
Elna;1014
Sarah;1014
Michaela;1013
Mariella;1004
Sanna-Mari;999
Tinja;996
Ruth;994
Vilhelmina;993
Peppiina;986
Sabina;986
Serafiina;984
Riia;983
Valentina;981
Impi;973
Natalie;971
Teresia;970
Annamari;968
Svetlana;967
Amelie;966
Felicia;957
Margareetta;954
Ansa;953
Nanna;953
Signe;953
Mimmi;952
Ebba;951
Ilmi;943
Gun;941
Maj-Lis;935
Aida;934
Tessa;929
Ava;929
Marlene;921
Auroora;915
Nadja;914
Kira;914
Maarika;912
Lemmikki;907
Adeliina;904
Åsa;904
Ruut;904
Inna;896
Hanna-Kaisa;892
Isa;890
Kerttuli;887
Doris;883
Annu;882
Margareeta;881
Aurelia;871
Katrina;870
Ellinoora;866
Aamu;865
Nelly;865
Juliaana;864
Miriam;857
Ines;850
Jennifer;850
Verna;849
Jatta;848
Sophie;842
Milena;840
Stiina;839
Dagmar;838
Vanamo;835
Jessika;835
Neela;835
Nicole;830
Juliana;827
Lisbeth;824
Beata;823
Synnöve;820
Pipsa;818
Sofi;818
Fiona;817
Rea;816
Annastiina;814
Julianna;808
Kaino;808
Micaela;806
Claudia;799
Annikka;797
Silvia;794
Soilikki;793
Britta;791
Tatiana;784
Ina;784
Tatjana;781
Sophia;776
Agnes;775
Bettina;773
Nita;772
Janni;771
Mohamed;768
Aina;765
Unna;762
Mary;759
Angelica;759
Veronika;759
Kielo;751
Lilia;750
Emelie;748
Luna;745
Kastehelmi;742
Saini;740
Mirkka;739
Michelle;737
Alva;736
Ida-Maria;730
Kukka-Maaria;728
Minerva;725
Lila;724
Ilse;719
Merita;717
Josefin;717
Melinda;715
Nuppu;711
Minni;708
Emily;703
Jeanette;702
Minka;701
Christel;701
Kukka;701
Maj;695
Nathalie;692
Catharina;691
Christa;687
Hanna-Maria;685
Jasmina;685
Meea;682
Ann-Marie;672
Rosita;672
Gabriella;671
Andrea;668
Josefine;668
Maya;668
Tamara;667
Ireene;667
Lucia;666
Marju;663
Serafia;663
Anne-Maj;658
Eivor;657
Siri;656
Pirjo-Riitta;651
Hellä;651
Eeva-Maria;650
Tove;649
Viena;641
Viveka;631
Malla;631
Therese;623
Terese;620
Rebecka;619
Eriika;617
Marian;615
Sarianna;613
Antonia;612
Jane;611
Alicia;608
Ritva-Liisa;608
Sigrid;607
Eedit;606
Larissa;604
Emmiina;604
Alissa;602
Ekaterina;600
Ramona;599
Emilie;594
Ria;593
Rosanna;593
Briitta;592
Edla;592
Anne-Maarit;592
Tara;592
Jenniina;591
Linn;591
Catarina;589
Mariel;587
Jannika;580
Anna-Sofia;578
Inga-Lill;577
Isabelle;575
Jelena;572
Iida-Maria;571
Cristina;568
Svea;563
Marit;562
Livia;561
Magdaleena;561
Märta;561
Eija-Liisa;560
Mai;556
Siina;555
Susann;554
Elmiina;554
Lenita;552
Pirjo-Liisa;551
Henna-Riikka;550
Mariana;547
Adelina;547
Ilta;547
Eve;546
Angelina;543
Selja;542
Sirja;539
Rose;537
Augusta;533
Annemari;531
Ottilia;531
Tua;520
Eeva-Maija;514
Kristine;513
Galina;513
Fiia;508
Sinna;507
Soila;503
Else-Maj;503
Hulda;503
Elea;500
Ann-Christine;499
Pernilla;497
Karina;496
Gunhild;496
Viveca;494
Maili;494
Ulriikka;493
Alise;493
Sanna-Kaisa;492
Lisbet;490
Lily;487
Angela;487
Mari-Anne;484
Bea;484
Kreetta;482
Ingegärd;482
Sani;480
Sanna-Maria;479
Ulpu;478
Hanneli;476
Milana;476
Ahmed;473
Lara;471
Meiju;470
Marikki;468
Lemmitty;464
Pamela;463
Liinu;460
Lili;457
Margaret;456
Roosa-Maria;454
Mariaana;453
Silva;452
Serafina;452
Teea;451
Ruusu;447
My;447
Hannamari;446
Yasmin;446
Kustaava;445
May;439
Aallotar;439
Gretel;439
Ellinor;438
Anna-Lisa;437
Hedvig;437
Margita;436
Noomi;435
Annica;434
Sade;432
Marissa;431
Petriina;429
Ann-Christin;429
Aleksiina;429
Gun-Britt;428
Assi;426
Göta;420
Tuulevi;419
Riika;419
Kreeta;418
Hellen;418
Cassandra;416
Leona;415
Angelika;414
Marjanne;413
Lidia;412
Karla;412
Nana;408
Britt-Marie;406
Hillervo;403
Vivi;399
Leeni;399
Klaudia;398
Erna;398
Marica;396
Mandi;396
Lumikki;394
Henriika;394
Hanna-Maija;393
Maja;393
Maj-Len;392
Hannah;392
Clara;392
Kirsi-Maria;391
Meri-Tuuli;391
Catherine;389
Mariann;389
Carmen;388
Britt;388
Mirja-Liisa;386
Valborg;385
Ilma;385
Rut;384
Ainikki;384
Ann-Sofi;384
Adelia;384
Moa;384
Kamilla;383
Katharina;382
Mielikki;382
Nenna;380
Ragnhild;380
Tiia-Maria;379
Leena-Maija;376
Jarna;375
Raija-Liisa;375
Amina;374
Sarianne;374
Bella;373
Kristin;371
Alexsandra;371
Theresa;369
Hilppa;369
Samira;368
Katrin;368
Raita;366
Miira;364
Annie;364
Jennika;363
Minna-Liisa;362
Ethel;361
Gertrud;361
Ulriika;361
Lauriina;360
Vaula;360
Iitu;359
Hjördis;358
Adéle;356
Ali;355
Margarita;354
Mariela;354
Lumina;352
Laimi;350
Mariam;349
Aniitta;348
Gabriela;347
